戦隊番号,戦隊名,曲名,種類,放送年,歌手,備考
1,秘密戦隊ゴレンジャー,進め!ゴレンジャー,OP,1975,ささきいさお・堀江美都子・コロムビアゆりかご会,
1,秘密戦隊ゴレンジャー,秘密戦隊ゴレンジャー,ED,1975,ささきいさお・こおろぎ'73,
1,秘密戦隊ゴレンジャー,見よ!!ゴレンジャー,ED,1975,ささきいさお・こおろぎ'73,追加ED
2,ジャッカー電撃隊,ジャッカー電撃隊,OP,1977,ささきいさお・こおろぎ'73,
2,ジャッカー電撃隊,いつか、花は咲くだろう,ED,1977,ささきいさお,
3,バトルフィーバーJ,バトルフィーバーJ,OP,1979,MoJo,
3,バトルフィーバーJ,勇者が行く,ED,1979,MoJo,
4,電子戦隊デンジマン,ああ電子戦隊デンジマン,OP,1980,成田賢,
4,電子戦隊デンジマン,デンジマンにまかせろ!,ED,1980,成田賢,
5,太陽戦隊サンバルカン,太陽戦隊サンバルカン,OP,1981,串田アキラ・こおろぎ'73,
5,太陽戦隊サンバルカン,若さはプラズマ,ED,1981,串田アキラ・こおろぎ'73,
5,太陽戦隊サンバルカン,1たす2たすサンバルカン,ED,1981,串田アキラ・コロムビアゆりかご会,追加ED
6,大戦隊ゴーグルファイブ,大戦隊ゴーグルV,OP,1982,MoJo・こおろぎ'73,
6,大戦隊ゴーグルファイブ,ストップ・ザ・バトル,ED,1982,MoJo・こおろぎ'73,
7,科学戦隊ダイナマン,科学戦隊ダイナマン,OP,1983,MoJo・こおろぎ'73,
7,科学戦隊ダイナマン,夢をかなえてダイナマン,ED,1983,MoJo・こおろぎ'73,
8,超電子バイオマン,超電子バイオマン,OP,1984,宮内タカユキ,
8,超電子バイオマン,バイオミック・ソルジャー,ED,1984,宮内タカユキ,
9,電撃戦隊チェンジマン,電撃戦隊チェンジマン,OP,1985,KAGE(影山ヒロノブ),
9,電撃戦隊チェンジマン,NEVER STOP チェンジマン,ED,1985,KAGE(影山ヒロノブ),
10,超新星フラッシュマン,超新星フラッシュマン,OP,1986,北原拓,
10,超新星フラッシュマン,ファイティングポーズ、フラッシュマン!,ED,1986,北原拓,
11,光戦隊マスクマン,光戦隊マスクマン,OP,1987,影山ヒロノブ,
11,光戦隊マスクマン,愛のソルジャー,ED,1987,影山ヒロノブ,
12,超獣戦隊ライブマン,超獣戦隊ライブマン,OP,1988,嶋大輔,
12,超獣戦隊ライブマン,あしたに生きるぜ!,ED,1988,嶋大輔,
13,高速戦隊ターボレンジャー,高速戦隊ターボレンジャー,OP,1989,佐藤健太,
13,高速戦隊ターボレンジャー,ジグザグ青春ロード,ED,1989,佐藤健太,
14,地球戦隊ファイブマン,地球戦隊ファイブマン,OP,1990,鈴木けんじ,
14,地球戦隊ファイブマン,ファイブマン、愛のテーマ,ED,1990,鈴木けんじ,
15,鳥人戦隊ジェットマン,鳥人戦隊ジェットマン,OP,1991,影山ヒロノブ,
15,鳥人戦隊ジェットマン,こころはタマゴ,ED,1991,影山ヒロノブ,
16,恐竜戦隊ジュウレンジャー,恐竜戦隊ジュウレンジャー,OP,1992,佐藤健太,
16,恐竜戦隊ジュウレンジャー,冒険してラッパピーヤ!,ED,1992,ピタゴラス,
17,五星戦隊ダイレンジャー,五星戦隊ダイレンジャー,OP,1993,NEW JACK拓郎,
17,五星戦隊ダイレンジャー,俺たち無敵さ!!ダイレンジャー,ED,1993,NEW JACK拓郎,
18,忍者戦隊カクレンジャー,シークレットカクレンジャー,OP,1994,トゥー・チー・チェン,
18,忍者戦隊カクレンジャー,ニンジャ!摩天楼キッズ,ED,1994,トゥー・チー・チェン,
19,超力戦隊オーレンジャー,オーレ!オーレンジャー,OP,1995,速水けんたろう,
19,超力戦隊オーレンジャー,緊急発進!!オーレンジャー,ED,1995,速水けんたろう,
19,超力戦隊オーレンジャー,虹色クリスタルスカイ,ED,1995,速水けんたろう,追加ED
20,激走戦隊カーレンジャー,激走戦隊カーレンジャー,OP,1996,高山成孝,
20,激走戦隊カーレンジャー,天国サンバ,ED,1996,高山成孝,
21,電磁戦隊メガレンジャー,電磁戦隊メガレンジャー,OP,1997,風雅なおと,
21,電磁戦隊メガレンジャー,気のせいかな,ED,1997,風雅なおと,
22,星獣戦隊ギンガマン,星獣戦隊ギンガマン,OP,1998,希砂未竜,
22,星獣戦隊ギンガマン,はだしの心で,ED,1998,希砂未竜,
23,救急戦隊ゴーゴーファイブ,救急戦隊ゴーゴーファイブ,OP,1999,石原慎一,
23,救急戦隊ゴーゴーファイブ,この星を この街を,ED,1999,高山成孝,
24,未来戦隊タイムレンジャー,JIKU 〜未来戦隊タイムレンジャー〜,OP,2000,佐々木久美,
24,未来戦隊タイムレンジャー,時の彼方へ,ED,2000,NAT'S,
25,百獣戦隊ガオレンジャー,ガオレンジャー吼えろ!!,OP,2001,山形ユキオ,
25,百獣戦隊ガオレンジャー,ヒーリン'ユー,ED,2001,Salia,
26,忍風戦隊ハリケンジャー,ハリケンジャー参上!,OP,2002,高取ヒデアキ,
26,忍風戦隊ハリケンジャー,いま 風のなかで,ED,2002,影山ヒロノブ,
27,爆竜戦隊アバレンジャー,爆竜戦隊アバレンジャー,OP,2003,遠藤正明,
27,爆竜戦隊アバレンジャー,We are the ONE 〜僕らはひとつ〜,ED,2003,串田アキラ,
28,特捜戦隊デカレンジャー,特捜戦隊デカレンジャー,OP,2004,サイキックラバー,
28,特捜戦隊デカレンジャー,ミッドナイト デカレンジャー,ED,2004,ささきいさお,
29,魔法戦隊マジレンジャー,魔法戦隊マジレンジャー,OP,2005,岩崎貴文,
29,魔法戦隊マジレンジャー,呪文降臨〜マジカル・フォース,ED,2005,Sister MAYO,
30,轟轟戦隊ボウケンジャー,轟轟戦隊ボウケンジャー,OP,2006,NoB,
30,轟轟戦隊ボウケンジャー,冒険者 ON THE ROAD,ED,2006,サイキックラバー,
31,獣拳戦隊ゲキレンジャー,獣拳戦隊ゲキレンジャー,OP,2007,谷本貴義,
31,獣拳戦隊ゲキレンジャー,道(タオ),ED,2007,水木一郎,
32,炎神戦隊ゴーオンジャー,炎神戦隊ゴーオンジャー,OP,2008,高橋秀幸,
32,炎神戦隊ゴーオンジャー,炎神ファーストラップ -Type Normal-,ED,2008,Project.R,
32,炎神戦隊ゴーオンジャー,炎神ラップ -Type S-,ED,2008,Project.R with 炎神キッズ,前期ED
32,炎神戦隊ゴーオンジャー,炎神セカンドラップ -TURBO CUSTOM-,ED,2008,Project.R,後期ED
33,侍戦隊シンケンジャー,侍戦隊シンケンジャー,OP,2009,サイキックラバー,
33,侍戦隊シンケンジャー,四六時夢中 シンケンジャー,ED,2009,高取ヒデアキ,
34,天装戦隊ゴセイジャー,天装戦隊ゴセイジャー,OP,2010,NoB,
34,天装戦隊ゴセイジャー,ガッチャ☆ゴセイジャー,ED,2010,高橋秀幸(Project.R),
35,海賊戦隊ゴーカイジャー,海賊戦隊ゴーカイジャー,OP,2011,松原剛志(Project.R),
35,海賊戦隊ゴーカイジャー,スーパー戦隊 ヒーローゲッター,ED,2011,Project.R,
35,海賊戦隊ゴーカイジャー,スーパー戦隊 ヒーローゲッター 〜Now & Forever edition〜,ED,2011,Project.R,特別版
36,特命戦隊ゴーバスターズ,バスターズ レディーゴー!,OP,2012,高橋秀幸(Project.R),
36,特命戦隊ゴーバスターズ,キズナ〜ゴーバスターズ!,ED,2012,謎の新ユニットSTA☆MEN,
37,獣電戦隊キョウリュウジャー,VAMOLA!キョウリュウジャー,OP,2013,鎌田章吾,
37,獣電戦隊キョウリュウジャー,みんな集まれ!キョウリュウジャー,ED,2013,高取ヒデアキ,
38,烈車戦隊トッキュウジャー,烈車戦隊トッキュウジャー,OP,2014,伊勢大貴,
38,烈車戦隊トッキュウジャー,ビュンビュン!トッキュウジャー,ED,2014,Project.R,
39,手裏剣戦隊ニンニンジャー,さぁ行け!ニンニンジャー!,OP,2015,大西洋平,
39,手裏剣戦隊ニンニンジャー,なんじゃモンじゃ!ニンジャ祭り!,ED,2015,伊勢大貴,
40,動物戦隊ジュウオウジャー,動物戦隊ジュウオウジャー,OP,2016,高取ヒデアキ(Project.R),
40,動物戦隊ジュウオウジャー,レッツ!ジュウオウダンス,ED,2016,大西洋平(Project.R),
41,宇宙戦隊キュウレンジャー,LUCKYSTAR,OP,2017,幡野智宏(Project.R),
41,宇宙戦隊キュウレンジャー,キュータマダンシング!,ED,2017,松原剛志(Project.R),
42,快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー,ルパンレンジャーVSパトレンジャー,OP,2018,Project.R(吉田達彦・吉田仁美),
42,快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー,ルパンレンジャーVSパトレンジャー,ED,2018,Project.R(吉田達彦・吉田仁美),
43,騎士竜戦隊リュウソウジャー,騎士竜戦隊リュウソウジャー,OP,2019,幡野智宏,
43,騎士竜戦隊リュウソウジャー,ケボーン!リュウソウジャー,ED,2019,Sister MAYO,
44,魔進戦隊キラメイジャー,魔進戦隊キラメイジャー,OP,2020,大西洋平,
44,魔進戦隊キラメイジャー,キラフル ミラクル キラメイジャー,ED,2020,出口たかし,
44,魔進戦隊キラメイジャー,キラメイ音頭,ED,2020,出口たかし,後期ED
45,機界戦隊ゼンカイジャー,全力全開!ゼンカイジャー,OP,2021,つるの剛士,
45,機界戦隊ゼンカイジャー,全力全開!ゼンカイジャー,ED,2021,つるの剛士,
46,暴太郎戦隊ドンブラザーズ,俺こそオンリーワン,OP,2022,MORISAKI WIN,
46,暴太郎戦隊ドンブラザーズ,Don't Boo!ドンブラザーズ,ED,2022,MORISAKI WIN,
47,王様戦隊キングオージャー,全力キング,OP,2023,古川貴之,
47,王様戦隊キングオージャー,Try & Fight,ED,2023,鎌田章吾,
48,爆上戦隊ブンブンジャー,爆上戦隊ブンブンジャー,OP,2024,遠藤正明,
48,爆上戦隊ブンブンジャー,コツコツ-PON-PON,ED,2024,ブンドリオ・ブンデラス(CV:松本梨香),
49,ナンバーワン戦隊ゴジュウジャー,WINNER!ゴジュウジャー!,OP,2025,Wienners,
49,ナンバーワン戦隊ゴジュウジャー,ビリビリBe-lie-ving,ED,2025,金子みゆ,
49,ナンバーワン戦隊ゴジュウジャー,ナンバーワン戦隊ゴジュウジャー,OP,2025,Wienners,OP別バージョン
