番号,作品名,OP／ED,曲名,歌手
1 ,秘密戦隊ゴレンジャー,OP,進め！ゴレンジャー,ささきいさお、堀江美都子、コロムビアゆりかご会
1 ,秘密戦隊ゴレンジャー,ED①,秘密戦隊ゴレンジャー,ささきいさお、こおろぎ'73
1 ,秘密戦隊ゴレンジャー,ED②,見よ!! ゴレンジャー,ささきいさお、こおろぎ'73、ウィルビーズ
2 ,ジャッカー電撃隊,OP,ジャッカー電撃隊,ささきいさお、こおろぎ'73
2 ,ジャッカー電撃隊,ED,いつか、花は咲くだろう,ささきいさお
3 ,バトルフィーバーJ,OP,バトルフィーバーJ,MoJo、コロムビアゆりかご会、フィーリング・フリー
3 ,バトルフィーバーJ,ED,勇者が行く,MoJo
4 ,電子戦隊デンジマン,OP,ああ電子戦隊デンジマン,成田賢
4 ,電子戦隊デンジマン,ED,デンジマンにまかせろ!,成田賢
5 ,太陽戦隊サンバルカン,OP,太陽戦隊サンバルカン,串田アキラ、こおろぎ'73
5 ,太陽戦隊サンバルカン,ED①,若さはプラズマ,串田アキラ、こおろぎ'73
5 ,太陽戦隊サンバルカン,ED②,1たす2たすサンバルカン,串田アキラ、コロムビアゆりかご会
6 ,大戦隊ゴーグルファイブ,OP,大戦隊ゴーグルV,MoJo、こおろぎ'73、ザ・チャープス
6 ,大戦隊ゴーグルファイブ,ED,ストップ・ザ・バトル,MoJo、こおろぎ'73、ザ・チャープス
7 ,科学戦隊ダイナマン,OP,科学戦隊ダイナマン,MoJo、こおろぎ'73
7 ,科学戦隊ダイナマン,ED,夢をかなえてダイナマン,MoJo、こおろぎ'73
8 ,超電子バイオマン,OP,超電子バイオマン,宮内タカユキ
8 ,超電子バイオマン,ED,バイオミック・ソルジャー,宮内タカユキ
9 ,電撃戦隊チェンジマン,OP,電撃戦隊チェンジマン,KAGE
9 ,電撃戦隊チェンジマン,ED,NEVER STOPチェンジマン,KAGE
10 ,超新星フラッシュマン,OP,超新星フラッシュマン,北原拓
10 ,超新星フラッシュマン,ED,ファイティングポーズ、フラッシュマン,北原拓
11 ,光戦隊マスクマン,OP,光戦隊マスクマン,影山ヒロノブ
11 ,光戦隊マスクマン,ED,愛のソルジャー,影山ヒロノブ
12 ,超獣戦隊ライブマン,OP,超獣戦隊ライブマン,嶋大輔
12 ,超獣戦隊ライブマン,ED,あしたに生きるぜ!,嶋大輔
13 ,高速戦隊ターボレンジャー,OP,高速戦隊ターボレンジャー,佐藤健太
13 ,高速戦隊ターボレンジャー,ED①,ジグザグ青春ロード,佐藤健太
13 ,高速戦隊ターボレンジャー,ED②,DANCEときめく心,佐藤健太
14 ,地球戦隊ファイブマン,OP,地球戦隊ファイブマン,鈴木けんじ
14 ,地球戦隊ファイブマン,ED,ファイブマン、愛のテーマ,鈴木けんじ
15 ,鳥人戦隊ジェットマン,OP,鳥人戦隊ジェットマン,影山ヒロノブ
15 ,鳥人戦隊ジェットマン,ED,こころはタマゴ,影山ヒロノブ
16 ,恐竜戦隊ジュウレンジャー,OP,恐竜戦隊ジュウレンジャー,佐藤健太
16 ,恐竜戦隊ジュウレンジャー,ED,冒険してラッパピーヤ!,ピタゴラス
17 ,五星戦隊ダイレンジャー,OP,五星戦隊ダイレンジャー,NEW JACK拓郎
17 ,五星戦隊ダイレンジャー,ED,俺たち無敵さ!! ダイレンジャー,NEW JACK拓郎
18 ,忍者戦隊カクレンジャー,OP,シークレット カクレンジャー,トゥー・チー・チェン
18 ,忍者戦隊カクレンジャー,ED,ニンジャ! 摩天楼キッズ,トゥー・チー・チェン
19 ,超力戦隊オーレンジャー,OP,オーレ! オーレンジャー,速水けんたろう
19 ,超力戦隊オーレンジャー,ED①,緊急発進!! オーレンジャー,速水けんたろう
19 ,超力戦隊オーレンジャー,ED②,虹色クリスタルスカイ,速水けんたろう
20 ,激走戦隊カーレンジャー,OP,激走戦隊カーレンジャー,高山成孝
20 ,激走戦隊カーレンジャー,ED,天国サンバ,高山成孝
21 ,電磁戦隊メガレンジャー,OP,電磁戦隊メガレンジャー,風雅なおと
21 ,電磁戦隊メガレンジャー,ED①,気のせいかな,風雅なおと
21 ,電磁戦隊メガレンジャー,ED②,Bomb Dancing メガレンジャー,朝川ひろこ
22 ,星獣戦隊ギンガマン,OP,星獣戦隊ギンガマン,希砂未竜
22 ,星獣戦隊ギンガマン,ED,はだしの心で,希砂未竜
23 ,救急戦隊ゴーゴーファイブ,OP,救急戦隊ゴーゴーファイブ,石原慎一 
23 ,救急戦隊ゴーゴーファイブ,ED,この星を この街を,高山成孝
24 ,未来戦隊タイムレンジャー,OP,JIKŪ 〜未来戦隊タイムレンジャー〜,佐々木久美
24 ,未来戦隊タイムレンジャー,ED①,時の彼方へ,NAT'S
24 ,未来戦隊タイムレンジャー,ED②,ミラクル☆Xmas,T.R.Futures
24 ,未来戦隊タイムレンジャー,ED③,ETERNAL WIND,高山成孝
24 ,未来戦隊タイムレンジャー,ED④,未来のゆくえ,岩﨑元是
24 ,未来戦隊タイムレンジャー,ED⑤,Don't Stop Your Story!,T.R.Futures
25 ,百獣戦隊ガオレンジャー,OP,ガオレンジャー吼えろ!!,山形ユキオ
25 ,百獣戦隊ガオレンジャー,ED①,ヒーリン'ユー,Salia
25 ,百獣戦隊ガオレンジャー,ED②,大空への階段,ガオレンジャー
26 ,忍風戦隊ハリケンジャー,OP,ハリケンジャー参上!,高取ヒデアキ
26 ,忍風戦隊ハリケンジャー,ED,いま 風のなかで,影山ヒロノブ
27 ,爆竜戦隊アバレンジャー,OP,爆竜戦隊アバレンジャー,遠藤正明
27 ,爆竜戦隊アバレンジャー,ED,We are the ONE 〜僕らはひとつ〜,串田アキラ、森の木児童合唱団
28 ,特捜戦隊デカレンジャー,OP,特捜戦隊デカレンジャー,サイキックラバー
28 ,特捜戦隊デカレンジャー,ED①,ミッドナイト デカレンジャー,ささきいさお、森の木児童合唱団
28 ,特捜戦隊デカレンジャー,ED②,girls in trouble! DEKARANGER,ジャスミン&ウメコ with デカレンボーイズ
29 ,魔法戦隊マジレンジャー,OP,魔法戦隊マジレンジャー,岩崎貴文
29 ,魔法戦隊マジレンジャー,ED,呪文降臨〜マジカル・フォース,Sister MAYO
30 ,轟轟戦隊ボウケンジャー,OP,轟轟戦隊ボウケンジャー,NoB
30 ,轟轟戦隊ボウケンジャー,ED,冒険者 ON THE ROAD,サイキックラバー
31 ,獣拳戦隊ゲキレンジャー,OP,獣拳戦隊ゲキレンジャー,谷本貴義 
31 ,獣拳戦隊ゲキレンジャー,ED①,道,水木一郎 
31 ,獣拳戦隊ゲキレンジャー,ED②,進めのススメ,漢堂ジャン
31 ,獣拳戦隊ゲキレンジャー,ED③,Run,宇崎ラン
31 ,獣拳戦隊ゲキレンジャー,ED④,Just Make It Out!,深見レツ
31 ,獣拳戦隊ゲキレンジャー,ED⑤,Wandering Wolf,深見ゴウ
31 ,獣拳戦隊ゲキレンジャー,ED⑥,そういうコトもあるだろよ,久津ケン
31 ,獣拳戦隊ゲキレンジャー,ED⑦,ちぎれた羽根,メレ
31 ,獣拳戦隊ゲキレンジャー,ED⑧,黒き鼓動 〜揺るぎない想い〜,理央
32 ,炎神戦隊ゴーオンジャー,OP,炎神戦隊ゴーオンジャー,高橋秀幸
32 ,炎神戦隊ゴーオンジャー,ED,炎神ファーストラップ -Type Normal-,Project.R with 炎神キッズ
33 ,侍戦隊シンケンジャー,OP,侍戦隊シンケンジャー,サイキックラバー
33 ,侍戦隊シンケンジャー,ED,四六時夢中シンケンジャー,高取ヒデアキ
34 ,天装戦隊ゴセイジャー,OP,天装戦隊ゴセイジャー,NoB 
34 ,天装戦隊ゴセイジャー,ED,ガッチャ☆ゴセイジャー,高橋秀幸
35 ,海賊戦隊ゴーカイジャー,OP,海賊戦隊ゴーカイジャー,松原剛志 
35 ,海賊戦隊ゴーカイジャー,ED,スーパー戦隊 ヒーローゲッター,Project.R
36 ,特命戦隊ゴーバスターズ,OP①,バスターズ レディーゴー!,高橋秀幸
36 ,特命戦隊ゴーバスターズ,OP②,モーフィン! ムービン! バスターズシップ!,高橋秀幸
36 ,特命戦隊ゴーバスターズ,ED①,キズナ〜ゴーバスターズ!,謎の新ユニットSTA☆MEN
36 ,特命戦隊ゴーバスターズ,ED②,"One wish,One day",桜田ヒロム&チダ・ニック
36 ,特命戦隊ゴーバスターズ,ED③,心配 ハニー♡バニー,宇佐見ヨーコ&ウサダ・レタス
36 ,特命戦隊ゴーバスターズ,ED④,Blue Banana Moon,岩崎リュウジ&ゴリサキ・バナナ
37 ,獣電戦隊キョウリュウジャー,OP,VAMOLA! キョウリュウジャー,鎌田章吾
37 ,獣電戦隊キョウリュウジャー,ED,みんな集まれ!キョウリュウジャー,高取ヒデアキ
38 ,烈車戦隊トッキュウジャー,OP,烈車戦隊トッキュウジャー,伊勢大貴
38 ,烈車戦隊トッキュウジャー,ED,ビュンビュン!トッキュウジャー,Project.R
39 ,手裏剣戦隊ニンニンジャー,OP,さぁ行け！ニンニンジャー！,大西洋平
39 ,手裏剣戦隊ニンニンジャー,ED,なんじゃモンじゃ！ニンジャ祭り！,伊勢大貴
40 ,動物戦隊ジュウオウジャー,OP,動物戦隊ジュウオウジャー,高取ヒデアキ
40 ,動物戦隊ジュウオウジャー,ED,レッツ! ジュウオウダンス,大西洋平
41 ,宇宙戦隊キュウレンジャー,OP,LUCKYSTAR,幡野智宏
41 ,宇宙戦隊キュウレンジャー,ED①,キュータマダンシング!,松原剛志
41 ,宇宙戦隊キュウレンジャー,ED②,キュータマ音頭!,松原剛志
42 ,快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー,OP,ルパンレンジャーVSパトレンジャー,Project.R
43 ,騎士竜戦隊リュウソウジャー,OP,騎士竜戦隊リュウソウジャー,幡野智宏
43 ,騎士竜戦隊リュウソウジャー,ED,ケボーン！リュウソウジャー,Sister MAYO 
44 ,魔進戦隊キラメイジャー,OP,魔進戦隊キラメイジャー,大西洋平
44 ,魔進戦隊キラメイジャー,ED①,キラフル ミラクル キラメイジャー,出口たかし 
44 ,魔進戦隊キラメイジャー,ED②,クリスタル・シグナル,マブシーナ
44 ,魔進戦隊キラメイジャー,ED③,勇気を奏でて,キラメイバンド
44 ,魔進戦隊キラメイジャー,ED④,ひらめキーング！かがやキーング！,熱田充瑠
44 ,魔進戦隊キラメイジャー,ED⑤,弾丸Shooting Star,射水為朝
44 ,魔進戦隊キラメイジャー,ED⑥,Winding Road,速見瀬奈
44 ,魔進戦隊キラメイジャー,ED⑦,Perfect Blue,押切時雨
44 ,魔進戦隊キラメイジャー,ED⑧,キセキをユメみる？,大治小夜
44 ,魔進戦隊キラメイジャー,ED⑨,博士じゃないよ、博多だよ！しかも南だよ！,博多南無鈴
44 ,魔進戦隊キラメイジャー,ED⑩,ワンダー守護神,クリスタリア宝路
45 ,機界戦隊ゼンカイジャー,OP,全力全開！ゼンカイジャー,つるの剛士
46 ,暴太郎戦隊ドンブラザーズ,OP,俺こそオンリーワン,MORISAKI WIN
46 ,暴太郎戦隊ドンブラザーズ,ED,Don't Boo! ドンブラザーズ,MORISAKI WIN
47 ,王様戦隊キングオージャー,OP,全力キング,古川貴之
47 ,王様戦隊キングオージャー,ED,Pride and Brave,高取ヒデアキ
48 ,爆上戦隊ブンブンジャー,OP,爆上戦隊ブンブンジャー,遠藤正明
48 ,爆上戦隊ブンブンジャー,ED,コツコツ-PON-PON,ブンドリオ・ブンデラス
49 ,ナンバーワン戦隊ゴジュウジャー,OP,WINNER!ゴジュウジャー!,Wienners
49 ,ナンバーワン戦隊ゴジュウジャー,ED①,YOU BE ONE WINNER,きただにひろし
49 ,ナンバーワン戦隊ゴジュウジャー,ED②,ビリビリBe-lie-ving,金子みゆ
50 ,百獣戦隊ガオレンジャーVSスーパー戦隊,ED,燃えろ!スーパー戦隊魂!!,水木一郎、堀江美都子
51 ,轟轟戦隊ボウケンジャーVSスーパー戦隊,ED,伝説,串田アキラ、宮内タカユキ、MoJo
52 ,スーパー戦隊VSシリーズ劇場,OP,バーサス! スーパー戦隊,高取ヒデアキ
53 ,４週連続スペシャル スーパー戦隊最強バトル!!,OP,最高最強 SUPER STARS!,NoB
54 ,非公認戦隊アキバレンジャー,OP,非公認戦隊アキバレンジャー,桃井はるこ feat. 山形ユキオ
54 ,非公認戦隊アキバレンジャー,ED,明日はアキバの風が吹く,赤木信夫
55 ,非公認戦隊アキバレンジャー　シーズン痛,OP,アキバレンジャー シーズン痛!,桃井はるこfeat.山形ユキオあんどMoJo
55 ,非公認戦隊アキバレンジャー　シーズン痛,ED,スーパー戦隊☆非公認応援歌,桃井はるこfeat.山形ユキオあんどMoJo
